0, 10360, 385244
1, 10492, 385244
2, 10548, 385244
3, 10592, 385244
4, 10604, 385244
5, 10620, 385244
6, 10636, 385244
7, 10640, 385244
8, 10648, 385244
9, 10648, 385244
10, 10648, 385244
11, 10668, 385244
12, 10668, 385244
13, 10672, 385244
14, 10684, 385244
15, 10688, 385244
16, 10688, 385244
17, 10688, 385244
18, 10688, 385244
19, 10688, 385244
20, 10688, 385244
21, 10688, 385244
22, 10700, 385244
23, 10700, 385244
24, 10708, 385244
25, 10708, 385244
26, 10708, 385244
27, 10716, 385244
28, 10716, 385244
29, 10716, 385244
30, 10716, 385244
31, 10720, 385244
32, 10720, 385244
33, 10720, 385244
34, 10720, 385244
35, 10720, 385244
36, 10728, 385244
37, 10728, 385244
38, 10728, 385244
39, 10728, 385244
40, 10728, 385244
41, 10728, 385244
42, 10728, 385244
43, 10728, 385244
44, 10728, 385244
45, 10732, 385244
46, 10732, 385244
47, 10732, 385244
48, 10732, 385244
49, 10740, 385244
50, 10740, 385244
51, 10740, 385244
52, 10740, 385244
53, 10740, 385244
54, 10740, 385244
55, 10744, 385244
56, 10744, 385244
57, 10748, 385244
58, 10748, 385244
59, 10748, 385244
60, 10748, 385244
61, 10752, 385244
62, 10752, 385244
63, 10752, 385244
64, 10752, 385244
65, 10752, 385244
66, 10756, 385244
67, 10756, 385244
68, 10756, 385244
69, 10756, 385244
70, 10756, 385244
71, 10756, 385244
72, 10756, 385244
73, 10756, 385244
74, 10756, 385244
75, 10756, 385244
76, 10756, 385244
77, 10760, 385244
78, 10772, 385244
79, 10772, 385244
80, 10772, 385244
81, 10772, 385244
82, 10772, 385244
83, 10772, 385244
84, 10772, 385244
85, 10772, 385244
86, 10772, 385244
87, 10772, 385244
88, 10772, 385244
89, 10772, 385244
90, 10772, 385244
91, 10772, 385244
92, 10772, 385244
93, 10776, 385244
94, 10776, 385244
95, 10776, 385244
96, 10776, 385244
97, 10776, 385244
98, 10776, 385244
99, 10776, 385244
100, 10776, 385244
101, 10776, 385244
102, 10776, 385244
103, 10776, 385244
104, 10776, 385244
105, 10776, 385244
106, 10776, 385244
107, 10776, 385244
108, 10776, 385244
109, 10776, 385244
110, 10776, 385244
111, 10776, 385244
112, 10776, 385244
113, 10776, 385244
114, 10776, 385244
115, 10776, 385244
116, 10776, 385244
117, 10776, 385244
118, 10776, 385244
119, 10776, 385244
120, 10776, 385244
121, 10780, 385244
122, 10780, 385244
123, 10780, 385244
124, 10780, 385244
125, 10780, 385244
126, 10780, 385244
127, 10784, 385244
128, 10784, 385244
129, 10784, 385244
130, 10784, 385244
131, 10784, 385244
132, 10780, 385244
133, 10780, 385244
134, 10780, 385244
135, 10780, 385244
136, 10780, 385244
137, 10780, 385244
138, 10780, 385244
139, 10780, 385244
140, 10780, 385244
141, 10780, 385244
142, 10780, 385244

